"","V1","V2","V3"
"seq",100,720,1040
"result.1",0.0392683744430542,0.0917705535888672,0.00321927070617676
"result.2",24.7964594364166,24.1001238584518,0.267963409423828
"result.3",73.4524203300476,72.3486370325088,0.987857389450073
